Epoch, Train Loss, Train Acc, Val Loss, Val Acc
219, 0.5840, 0.8247, 2.4452, 0.4820
220, 0.5820, 0.8297, 2.7164, 0.4598
221, 0.5834, 0.8276, 2.5693, 0.4681
222, 0.5765, 0.8297, 2.4977, 0.4741
223, 0.5537, 0.8353, 2.5677, 0.4711
224, 0.5520, 0.8307, 2.5674, 0.4745
225, 0.5415, 0.8388, 3.7647, 0.3881
226, 0.5514, 0.8346, 2.5145, 0.4914
227, 0.5539, 0.8300, 2.5519, 0.4640
228, 0.5376, 0.8377, 2.5565, 0.4839
229, 0.5419, 0.8376, 2.4556, 0.4827
230, 0.5056, 0.8514, 3.2468, 0.4107
231, 0.4936, 0.8530, 2.5115, 0.4794
232, 0.4833, 0.8579, 2.5756, 0.4748
233, 0.5047, 0.8483, 2.5867, 0.4906
234, 0.5036, 0.8477, 2.5366, 0.4797
235, 0.4791, 0.8546, 2.5782, 0.4876
236, 0.5001, 0.8534, 2.5503, 0.4839
237, 0.4794, 0.8582, 2.5515, 0.4850
238, 0.4666, 0.8572, 2.4633, 0.4947
239, 0.4769, 0.8584, 2.5307, 0.4970
240, 0.4563, 0.8622, 2.5914, 0.4827
241, 0.4536, 0.8620, 3.2421, 0.4358
242, 0.4591, 0.8628, 3.5672, 0.4433
243, 0.4311, 0.8712, 2.4779, 0.5019
244, 0.4245, 0.8738, 2.4269, 0.5015
245, 0.4052, 0.8739, 2.4602, 0.5064
246, 0.4322, 0.8692, 2.5746, 0.4947
247, 0.4126, 0.8787, 2.5346, 0.5011
248, 0.4268, 0.8723, 2.5964, 0.4861
249, 0.4104, 0.8758, 2.4860, 0.5071
250, 0.4297, 0.8697, 2.6218, 0.4876
251, 0.4138, 0.8767, 2.4279, 0.5165
252, 0.3918, 0.8876, 2.4582, 0.5041
253, 0.3918, 0.8800, 2.5805, 0.4989
254, 0.4165, 0.8748, 2.4850, 0.5056
255, 0.3904, 0.8854, 2.4637, 0.5188
256, 0.3667, 0.8892, 2.5280, 0.5113
257, 0.3645, 0.8929, 2.4103, 0.5150
258, 0.3482, 0.8992, 2.3864, 0.5236
259, 0.3492, 0.8947, 7.7663, 0.3281
260, 0.3650, 0.8907, 2.4219, 0.5240
261, 0.3467, 0.8990, 2.3943, 0.5270
262, 0.3619, 0.8945, 2.4619, 0.5221
263, 0.3517, 0.8966, 2.3732, 0.5330
264, 0.3439, 0.8961, 2.4062, 0.5191
265, 0.3587, 0.8937, 2.4449, 0.5206
266, 0.3498, 0.8961, 2.4202, 0.5169
267, 0.3419, 0.8958, 2.5826, 0.5038
268, 0.3858, 0.8834, 2.3499, 0.5383
269, 0.3378, 0.9030, 2.3810, 0.5323
270, 0.3057, 0.9102, 2.4051, 0.5293
271, 0.3282, 0.9031, 2.4341, 0.5282
272, 0.3320, 0.8996, 11.1193, 0.2639
273, 0.3332, 0.9019, 2.4176, 0.5278
274, 0.3217, 0.9032, 2.4256, 0.5345
275, 0.3120, 0.9077, 2.3260, 0.5338
276, 0.3033, 0.9108, 2.4503, 0.5135
277, 0.3046, 0.9089, 3.3991, 0.4249
278, 0.3079, 0.9096, 2.3613, 0.5447
279, 0.3286, 0.9001, 2.4918, 0.5225
280, 0.3158, 0.9010, 2.4901, 0.5199
281, 0.3222, 0.9066, 2.3895, 0.5191
282, 0.3119, 0.9079, 2.4606, 0.5390
283, 0.2751, 0.9180, 2.4257, 0.5312
284, 0.2993, 0.9084, 2.4927, 0.5360
285, 0.2665, 0.9210, 2.3473, 0.5304
286, 0.2917, 0.9169, 2.4374, 0.5364
287, 0.2836, 0.9166, 2.4405, 0.5372
288, 0.2772, 0.9173, 2.6518, 0.5023
289, 0.2846, 0.9156, 2.5125, 0.5214
290, 0.2533, 0.9259, 2.4141, 0.5439
291, 0.2697, 0.9200, 3.2998, 0.4767
292, 0.2717, 0.9206, 2.3074, 0.5492
293, 0.2603, 0.9237, 6.7140, 0.4043
294, 0.2847, 0.9188, 2.3812, 0.5458
295, 0.2768, 0.9192, 2.4530, 0.5387
296, 0.2753, 0.9166, 2.4134, 0.5353
297, 0.2539, 0.9245, 2.5158, 0.5199
298, 0.2517, 0.9265, 2.4133, 0.5409
299, 0.2523, 0.9262, 2.3470, 0.5443
300, 0.2667, 0.9209, 2.4713, 0.5327
301, 0.2588, 0.9247, 2.4123, 0.5447
302, 0.2613, 0.9219, 2.5333, 0.5267
303, 0.2551, 0.9255, 2.3292, 0.5616
304, 0.2465, 0.9282, 2.5932, 0.5297
305, 0.2435, 0.9277, 2.4248, 0.5514
306, 0.2411, 0.9264, 2.3640, 0.5608
307, 0.2349, 0.9306, 2.3312, 0.5522
308, 0.2458, 0.9278, 2.5192, 0.5300
309, 0.2380, 0.9286, 2.2612, 0.5649
310, 0.2101, 0.9383, 2.4840, 0.5484
311, 0.2259, 0.9348, 2.4198, 0.5364
312, 0.2051, 0.9413, 2.3459, 0.5593
313, 0.2207, 0.9369, 2.3364, 0.5484
314, 0.2238, 0.9342, 2.3308, 0.5586
315, 0.2254, 0.9320, 2.3928, 0.5435
316, 0.2387, 0.9301, 2.4585, 0.5469
317, 0.2392, 0.9303, 2.3457, 0.5514
